,Segment,Country,Product,Discount_Band,Units_Sold,Manufacturing_Price,Sale_Price,Gross_Sales,Discounts,Sales,COGS,Profit,Date,Month_Number,Month_Name,Year,manufacturing_price,sale_price,gross_sales,sales,cogs,profit,discounts,sales_price
10,midmarket,Mexico, Montana , None ,2470.0, $5.00 , $15.00 ," $37,050.00 ",," $37,050.00 "," $24,700.00 "," $12,350.00 ",01/06/2014,6, June ,2014,5.0,15.00 ,37050.0,37050.0,24700.0,12350.00 ,0.0,15.0
11,enterprise,Canada, Montana , None ,2665.5, $5.00 , $125.00 ," $333,187.50 ",," $333,187.50 "," $319,860.00 "," $13,327.50 ",01/07/2014,7, July ,2014,5.0,125.00 ,333187.5,333187.5,319860.0,13327.50 ,0.0,125.0
12,small business,Mexico, Montana , None ,958.0, $5.00 , $300.00 ," $287,400.00 ",," $287,400.00 "," $239,500.00 "," $47,900.00 ",01/08/2014,8, August ,2014,5.0,300.00 ,287400.0,287400.0,239500.0,47900.00 ,0.0,300.0
13,government,Germany, Montana , None ,2146.0, $5.00 , $7.00 ," $15,022.00 ",," $15,022.00 "," $10,730.00 "," $4,292.00 ",01/09/2014,9, September ,2014,5.0,7.00 ,15022.0,15022.0,10730.0,4292.00 ,0.0,7.0
14,enterprise,Canada, Montana , None ,345.0, $5.00 , $125.00 ," $43,125.00 ",," $43,125.00 "," $41,400.00 "," $1,725.00 ",01/10/2013,10, October ,2013,5.0,125.00 ,43125.0,43125.0,41400.0,1725.00 ,0.0,125.0
15,midmarket,United States of America, Montana , None ,615.0, $5.00 , $15.00 ," $9,225.00 ",," $9,225.00 "," $6,150.00 "," $3,075.00 ",01/12/2014,12, December ,2014,5.0,15.00 ,9225.0,9225.0,6150.0,3075.00 ,0.0,15.0
16,government,Canada, Paseo , None ,292.0, $10.00 , $20.00 ," $5,840.00 ",," $5,840.00 "," $2,920.00 "," $2,920.00 ",01/02/2014,2, February ,2014,10.0,20.00 ,5840.0,5840.0,2920.0,2920.00 ,0.0,20.0
17,midmarket,Mexico, Paseo , None ,974.0, $10.00 , $15.00 ," $14,610.00 ",," $14,610.00 "," $9,740.00 "," $4,870.00 ",01/02/2014,2, February ,2014,10.0,15.00 ,14610.0,14610.0,9740.0,4870.00 ,0.0,15.0
18,channel partners,Canada, Paseo , None ,2518.0, $10.00 , $12.00 ," $30,216.00 ",," $30,216.00 "," $7,554.00 "," $22,662.00 ",01/06/2014,6, June ,2014,10.0,12.00 ,30216.0,30216.0,7554.0,22662.00 ,0.0,12.0
19,government,Germany, Paseo , None ,1006.0, $10.00 , $350.00 ," $352,100.00 ",," $352,100.00 "," $261,560.00 "," $90,540.00 ",01/06/2014,6, June ,2014,10.0,350.00 ,352100.0,352100.0,261560.0,90540.00 ,0.0,350.0
20,channel partners,Germany, Paseo , None ,367.0, $10.00 , $12.00 ," $4,404.00 ",," $4,404.00 "," $1,101.00 "," $3,303.00 ",01/07/2014,7, July ,2014,10.0,12.00 ,4404.0,4404.0,1101.0,3303.00 ,0.0,12.0
21,government,Mexico, Paseo , None ,883.0, $10.00 , $7.00 ," $6,181.00 ",," $6,181.00 "," $4,415.00 "," $1,766.00 ",01/08/2014,8, August ,2014,10.0,7.00 ,6181.0,6181.0,4415.0,1766.00 ,0.0,7.0
22,midmarket,France, Paseo , None ,549.0, $10.00 , $15.00 ," $8,235.00 ",," $8,235.00 "," $5,490.00 "," $2,745.00 ",01/09/2013,9, September ,2013,10.0,15.00 ,8235.0,8235.0,5490.0,2745.00 ,0.0,15.0
23,small business,Mexico, Paseo , None ,788.0, $10.00 , $300.00 ," $236,400.00 ",," $236,400.00 "," $197,000.00 "," $39,400.00 ",01/09/2013,9, September ,2013,10.0,300.00 ,236400.0,236400.0,197000.0,39400.00 ,0.0,300.0
24,midmarket,Mexico, Paseo , None ,2472.0, $10.00 , $15.00 ," $37,080.00 ",," $37,080.00 "," $24,720.00 "," $12,360.00 ",01/09/2014,9, September ,2014,10.0,15.00 ,37080.0,37080.0,24720.0,12360.00 ,0.0,15.0
25,government,United States of America, Paseo , None ,1143.0, $10.00 , $7.00 ," $8,001.00 ",," $8,001.00 "," $5,715.00 "," $2,286.00 ",01/10/2014,10, October ,2014,10.0,7.00 ,8001.0,8001.0,5715.0,2286.00 ,0.0,7.0
26,government,Canada, Paseo , None ,1725.0, $10.00 , $350.00 ," $603,750.00 ",," $603,750.00 "," $448,500.00 "," $155,250.00 ",01/11/2013,11, November ,2013,10.0,350.00 ,603750.0,603750.0,448500.0,155250.00 ,0.0,350.0
27,channel partners,United States of America, Paseo , None ,912.0, $10.00 , $12.00 ," $10,944.00 ",," $10,944.00 "," $2,736.00 "," $8,208.00 ",01/11/2013,11, November ,2013,10.0,12.00 ,10944.0,10944.0,2736.0,8208.00 ,0.0,12.0
28,midmarket,Canada, Paseo , None ,2152.0, $10.00 , $15.00 ," $32,280.00 ",," $32,280.00 "," $21,520.00 "," $10,760.00 ",01/12/2013,12, December ,2013,10.0,15.00 ,32280.0,32280.0,21520.0,10760.00 ,0.0,15.0
29,government,Canada, Paseo , None ,1817.0, $10.00 , $20.00 ," $36,340.00 ",," $36,340.00 "," $18,170.00 "," $18,170.00 ",01/12/2014,12, December ,2014,10.0,20.00 ,36340.0,36340.0,18170.0,18170.00 ,0.0,20.0
30,government,Germany, Paseo , None ,1513.0, $10.00 , $350.00 ," $529,550.00 ",," $529,550.00 "," $393,380.00 "," $136,170.00 ",01/12/2014,12, December ,2014,10.0,350.00 ,529550.0,529550.0,393380.0,136170.00 ,0.0,350.0
31,government,Mexico, Velo , None ,1493.0, $120.00 , $7.00 ," $10,451.00 ",," $10,451.00 "," $7,465.00 "," $2,986.00 ",01/01/2014,1, January ,2014,120.0,7.00 ,10451.0,10451.0,7465.0,2986.00 ,0.0,7.0
32,enterprise,France, Velo , None ,1804.0, $120.00 , $125.00 ," $225,500.00 ",," $225,500.00 "," $216,480.00 "," $9,020.00 ",01/02/2014,2, February ,2014,120.0,125.00 ,225500.0,225500.0,216480.0,9020.00 ,0.0,125.0
33,channel partners,Germany, Velo , None ,2161.0, $120.00 , $12.00 ," $25,932.00 ",," $25,932.00 "," $6,483.00 "," $19,449.00 ",01/03/2014,3, March ,2014,120.0,12.00 ,25932.0,25932.0,6483.0,19449.00 ,0.0,12.0
34,government,Germany, Velo , None ,1006.0, $120.00 , $350.00 ," $352,100.00 ",," $352,100.00 "," $261,560.00 "," $90,540.00 ",01/06/2014,6, June ,2014,120.0,350.00 ,352100.0,352100.0,261560.0,90540.00 ,0.0,350.0
35,channel partners,Germany, Velo , None ,1545.0, $120.00 , $12.00 ," $18,540.00 ",," $18,540.00 "," $4,635.00 "," $13,905.00 ",01/06/2014,6, June ,2014,120.0,12.00 ,18540.0,18540.0,4635.0,13905.00 ,0.0,12.0
36,enterprise,United States of America, Velo , None ,2821.0, $120.00 , $125.00 ," $352,625.00 ",," $352,625.00 "," $338,520.00 "," $14,105.00 ",01/08/2014,8, August ,2014,120.0,125.00 ,352625.0,352625.0,338520.0,14105.00 ,0.0,125.0
37,enterprise,Canada, Velo , None ,345.0, $120.00 , $125.00 ," $43,125.00 ",," $43,125.00 "," $41,400.00 "," $1,725.00 ",01/10/2013,10, October ,2013,120.0,125.00 ,43125.0,43125.0,41400.0,1725.00 ,0.0,125.0
38,small business,Canada, VTT , None ,2001.0, $250.00 , $300.00 ," $600,300.00 ",," $600,300.00 "," $500,250.00 "," $100,050.00 ",01/02/2014,2, February ,2014,250.0,300.00 ,600300.0,600300.0,500250.0,100050.00 ,0.0,300.0
39,channel partners,Germany, VTT , None ,2838.0, $250.00 , $12.00 ," $34,056.00 ",," $34,056.00 "," $8,514.00 "," $25,542.00 ",01/04/2014,4, April ,2014,250.0,12.00 ,34056.0,34056.0,8514.0,25542.00 ,0.0,12.0
40,midmarket,France, VTT , None ,2178.0, $250.00 , $15.00 ," $32,670.00 ",," $32,670.00 "," $21,780.00 "," $10,890.00 ",01/06/2014,6, June ,2014,250.0,15.00 ,32670.0,32670.0,21780.0,10890.00 ,0.0,15.0
41,midmarket,Germany, VTT , None ,888.0, $250.00 , $15.00 ," $13,320.00 ",," $13,320.00 "," $8,880.00 "," $4,440.00 ",01/06/2014,6, June ,2014,250.0,15.00 ,13320.0,13320.0,8880.0,4440.00 ,0.0,15.0
42,government,France, VTT , None ,1527.0, $250.00 , $350.00 ," $534,450.00 ",," $534,450.00 "," $397,020.00 "," $137,430.00 ",01/09/2013,9, September ,2013,250.0,350.00 ,534450.0,534450.0,397020.0,137430.00 ,0.0,350.0
43,small business,France, VTT , None ,2151.0, $250.00 , $300.00 ," $645,300.00 ",," $645,300.00 "," $537,750.00 "," $107,550.00 ",01/09/2014,9, September ,2014,250.0,300.00 ,645300.0,645300.0,537750.0,107550.00 ,0.0,300.0
44,government,Canada, VTT , None ,1817.0, $250.00 , $20.00 ," $36,340.00 ",," $36,340.00 "," $18,170.00 "," $18,170.00 ",01/12/2014,12, December ,2014,250.0,20.00 ,36340.0,36340.0,18170.0,18170.00 ,0.0,20.0
45,government,France, Amarilla , None ,2750.0, $260.00 , $350.00 ," $962,500.00 ",," $962,500.00 "," $715,000.00 "," $247,500.00 ",01/02/2014,2, February ,2014,260.0,350.00 ,962500.0,962500.0,715000.0,247500.00 ,0.0,350.0
46,channel partners,United States of America, Amarilla , None ,1953.0, $260.00 , $12.00 ," $23,436.00 ",," $23,436.00 "," $5,859.00 "," $17,577.00 ",01/04/2014,4, April ,2014,260.0,12.00 ,23436.0,23436.0,5859.0,17577.00 ,0.0,12.0
47,enterprise,Germany, Amarilla , None ,4219.5, $260.00 , $125.00 ," $527,437.50 ",," $527,437.50 "," $506,340.00 "," $21,097.50 ",01/04/2014,4, April ,2014,260.0,125.00 ,527437.5,527437.5,506340.0,21097.50 ,0.0,125.0
48,government,France, Amarilla , None ,1899.0, $260.00 , $20.00 ," $37,980.00 ",," $37,980.00 "," $18,990.00 "," $18,990.00 ",01/06/2014,6, June ,2014,260.0,20.00 ,37980.0,37980.0,18990.0,18990.00 ,0.0,20.0
49,government,Germany, Amarilla , None ,1686.0, $260.00 , $7.00 ," $11,802.00 ",," $11,802.00 "," $8,430.00 "," $3,372.00 ",01/07/2014,7, July ,2014,260.0,7.00 ,11802.0,11802.0,8430.0,3372.00 ,0.0,7.0
50,channel partners,United States of America, Amarilla , None ,2141.0, $260.00 , $12.00 ," $25,692.00 ",," $25,692.00 "," $6,423.00 "," $19,269.00 ",01/08/2014,8, August ,2014,260.0,12.00 ,25692.0,25692.0,6423.0,19269.00 ,0.0,12.0
51,government,United States of America, Amarilla , None ,1143.0, $260.00 , $7.00 ," $8,001.00 ",," $8,001.00 "," $5,715.00 "," $2,286.00 ",01/10/2014,10, October ,2014,260.0,7.00 ,8001.0,8001.0,5715.0,2286.00 ,0.0,7.0
52,midmarket,United States of America, Amarilla , None ,615.0, $260.00 , $15.00 ," $9,225.00 ",," $9,225.00 "," $6,150.00 "," $3,075.00 ",01/12/2014,12, December ,2014,260.0,15.00 ,9225.0,9225.0,6150.0,3075.00 ,0.0,15.0
53,government,France, Paseo , Low ,3945.0, $10.00 , $7.00 ," $27,615.00 ", $276.15 ," $27,338.85 "," $19,725.00 "," $7,613.85 ",01/01/2014,1, January ,2014,10.0,7.00 ,27615.0,27338.85,19725.0,7613.85 ,276.15,7.0
54,midmarket,France, Paseo , Low ,2296.0, $10.00 , $15.00 ," $34,440.00 ", $344.40 ," $34,095.60 "," $22,960.00 "," $11,135.60 ",01/02/2014,2, February ,2014,10.0,15.00 ,34440.0,34095.6,22960.0,11135.60 ,344.4,15.0
55,government,France, Paseo , Low ,1030.0, $10.00 , $7.00 ," $7,210.00 ", $72.10 ," $7,137.90 "," $5,150.00 "," $1,987.90 ",01/05/2014,5, May ,2014,10.0,7.00 ,7210.0,7137.9,5150.0,1987.90 ,72.1,7.0
56,government,France, Velo , Low ,639.0, $120.00 , $7.00 ," $4,473.00 ", $44.73 ," $4,428.27 "," $3,195.00 "," $1,233.27 ",01/11/2014,11, November ,2014,120.0,7.00 ,4473.0,4428.27,3195.0,1233.27 ,44.73,7.0
57,government,Canada, VTT , Low ,1326.0, $250.00 , $7.00 ," $9,282.00 ", $92.82 ," $9,189.18 "," $6,630.00 "," $2,559.18 ",01/03/2014,3, March ,2014,250.0,7.00 ,9282.0,9189.18,6630.0,2559.18 ,92.82,7.0
58,channel partners,United States of America, Carretera , Low ,1858.0, $3.00 , $12.00 ," $22,296.00 ", $222.96 ," $22,073.04 "," $5,574.00 "," $16,499.04 ",01/02/2014,2, February ,2014,3.0,12.00 ,22296.0,22073.04,5574.0,16499.04 ,222.96,12.0
59,government,Mexico, Carretera , Low ,1210.0, $3.00 , $350.00 ," $423,500.00 "," $4,235.00 "," $419,265.00 "," $314,600.00 "," $104,665.00 ",01/03/2014,3, March ,2014,3.0,350.00 ,423500.0,419265.0,314600.0,104665.00 ,4235.0,350.0
60,government,United States of America, Carretera , Low ,2529.0, $3.00 , $7.00 ," $17,703.00 ", $177.03 ," $17,525.97 "," $12,645.00 "," $4,880.97 ",01/07/2014,7, July ,2014,3.0,7.00 ,17703.0,17525.97,12645.0,4880.97 ,177.03,7.0
61,channel partners,Canada, Carretera , Low ,1445.0, $3.00 , $12.00 ," $17,340.00 ", $173.40 ," $17,166.60 "," $4,335.00 "," $12,831.60 ",01/09/2014,9, September ,2014,3.0,12.00 ,17340.0,17166.6,4335.0,12831.60 ,173.4,12.0
62,enterprise,United States of America, Carretera , Low ,330.0, $3.00 , $125.00 ," $41,250.00 ", $412.50 ," $40,837.50 "," $39,600.00 "," $1,237.50 ",01/09/2013,9, September ,2013,3.0,125.00 ,41250.0,40837.5,39600.0,1237.50 ,412.5,125.0
63,channel partners,France, Carretera , Low ,2671.0, $3.00 , $12.00 ," $32,052.00 ", $320.52 ," $31,731.48 "," $8,013.00 "," $23,718.48 ",01/09/2014,9, September ,2014,3.0,12.00 ,32052.0,31731.48,8013.0,23718.48 ,320.52,12.0
64,channel partners,Germany, Carretera , Low ,766.0, $3.00 , $12.00 ," $9,192.00 ", $91.92 ," $9,100.08 "," $2,298.00 "," $6,802.08 ",01/10/2013,10, October ,2013,3.0,12.00 ,9192.0,9100.08,2298.0,6802.08 ,91.92,12.0
65,small business,Mexico, Carretera , Low ,494.0, $3.00 , $300.00 ," $148,200.00 "," $1,482.00 "," $146,718.00 "," $123,500.00 "," $23,218.00 ",01/10/2013,10, October ,2013,3.0,300.00 ,148200.0,146718.0,123500.0,23218.00 ,1482.0,300.0
66,government,Mexico, Carretera , Low ,1397.0, $3.00 , $350.00 ," $488,950.00 "," $4,889.50 "," $484,060.50 "," $363,220.00 "," $120,840.50 ",01/10/2014,10, October ,2014,3.0,350.00 ,488950.0,484060.5,363220.0,120840.50 ,4889.5,350.0
67,government,France, Carretera , Low ,2155.0, $3.00 , $350.00 ," $754,250.00 "," $7,542.50 "," $746,707.50 "," $560,300.00 "," $186,407.50 ",01/12/2014,12, December ,2014,3.0,350.00 ,754250.0,746707.5,560300.0,186407.50 ,7542.5,350.0
68,midmarket,Mexico, Montana , Low ,2214.0, $5.00 , $15.00 ," $33,210.00 ", $332.10 ," $32,877.90 "," $22,140.00 "," $10,737.90 ",01/03/2014,3, March ,2014,5.0,15.00 ,33210.0,32877.9,22140.0,10737.90 ,332.1,15.0
69,small business,United States of America, Montana , Low ,2301.0, $5.00 , $300.00 ," $690,300.00 "," $6,903.00 "," $683,397.00 "," $575,250.00 "," $108,147.00 ",01/04/2014,4, April ,2014,5.0,300.00 ,690300.0,683397.0,575250.0,108147.00 ,6903.0,300.0
70,government,France, Montana , Low ,1375.5, $5.00 , $20.00 ," $27,510.00 ", $275.10 ," $27,234.90 "," $13,755.00 "," $13,479.90 ",01/07/2014,7, July ,2014,5.0,20.00 ,27510.0,27234.9,13755.0,13479.90 ,275.1,20.0
71,government,Canada, Montana , Low ,1830.0, $5.00 , $7.00 ," $12,810.00 ", $128.10 ," $12,681.90 "," $9,150.00 "," $3,531.90 ",01/08/2014,8, August ,2014,5.0,7.00 ,12810.0,12681.9,9150.0,3531.90 ,128.1,7.0
72,small business,United States of America, Montana , Low ,2498.0, $5.00 , $300.00 ," $749,400.00 "," $7,494.00 "," $741,906.00 "," $624,500.00 "," $117,406.00 ",01/09/2013,9, September ,2013,5.0,300.00 ,749400.0,741906.0,624500.0,117406.00 ,7494.0,300.0
73,enterprise,United States of America, Montana , Low ,663.0, $5.00 , $125.00 ," $82,875.00 ", $828.75 ," $82,046.25 "," $79,560.00 "," $2,486.25 ",01/10/2013,10, October ,2013,5.0,125.00 ,82875.0,82046.25,79560.0,2486.25 ,828.75,125.0
74,midmarket,United States of America, Paseo , Low ,1514.0, $10.00 , $15.00 ," $22,710.00 ", $227.10 ," $22,482.90 "," $15,140.00 "," $7,342.90 ",01/02/2014,2, February ,2014,10.0,15.00 ,22710.0,22482.9,15140.0,7342.90 ,227.1,15.0
75,government,United States of America, Paseo , Low ,4492.5, $10.00 , $7.00 ," $31,447.50 ", $314.48 ," $31,133.03 "," $22,462.50 "," $8,670.53 ",01/04/2014,4, April ,2014,10.0,7.00 ,31447.5,31133.03,22462.5,8670.53 ,314.48,7.0
76,enterprise,United States of America, Paseo , Low ,727.0, $10.00 , $125.00 ," $90,875.00 ", $908.75 ," $89,966.25 "," $87,240.00 "," $2,726.25 ",01/06/2014,6, June ,2014,10.0,125.00 ,90875.0,89966.25,87240.0,2726.25 ,908.75,125.0
77,enterprise,France, Paseo , Low ,787.0, $10.00 , $125.00 ," $98,375.00 ", $983.75 ," $97,391.25 "," $94,440.00 "," $2,951.25 ",01/06/2014,6, June ,2014,10.0,125.00 ,98375.0,97391.25,94440.0,2951.25 ,983.75,125.0
78,enterprise,Mexico, Paseo , Low ,1823.0, $10.00 , $125.00 ," $227,875.00 "," $2,278.75 "," $225,596.25 "," $218,760.00 "," $6,836.25 ",01/07/2014,7, July ,2014,10.0,125.00 ,227875.0,225596.25,218760.0,6836.25 ,2278.75,125.0
79,midmarket,Germany, Paseo , Low ,747.0, $10.00 , $15.00 ," $11,205.00 ", $112.05 ," $11,092.95 "," $7,470.00 "," $3,622.95 ",01/09/2014,9, September ,2014,10.0,15.00 ,11205.0,11092.95,7470.0,3622.95 ,112.05,15.0
80,channel partners,Germany, Paseo , Low ,766.0, $10.00 , $12.00 ," $9,192.00 ", $91.92 ," $9,100.08 "," $2,298.00 "," $6,802.08 ",01/10/2013,10, October ,2013,10.0,12.00 ,9192.0,9100.08,2298.0,6802.08 ,91.92,12.0
81,small business,United States of America, Paseo , Low ,2905.0, $10.00 , $300.00 ," $871,500.00 "," $8,715.00 "," $862,785.00 "," $726,250.00 "," $136,535.00 ",01/11/2014,11, November ,2014,10.0,300.00 ,871500.0,862785.0,726250.0,136535.00 ,8715.0,300.0
82,government,France, Paseo , Low ,2155.0, $10.00 , $350.00 ," $754,250.00 "," $7,542.50 "," $746,707.50 "," $560,300.00 "," $186,407.50 ",01/12/2014,12, December ,2014,10.0,350.00 ,754250.0,746707.5,560300.0,186407.50 ,7542.5,350.0
83,government,France, Velo , Low ,3864.0, $120.00 , $20.00 ," $77,280.00 ", $772.80 ," $76,507.20 "," $38,640.00 "," $37,867.20 ",01/04/2014,4, April ,2014,120.0,20.00 ,77280.0,76507.2,38640.0,37867.20 ,772.8,20.0
84,government,Mexico, Velo , Low ,362.0, $120.00 , $7.00 ," $2,534.00 ", $25.34 ," $2,508.66 "," $1,810.00 ", $698.66 ,01/05/2014,5, May ,2014,120.0,7.00 ,2534.0,2508.66,1810.0,698.66 ,25.34,7.0
85,enterprise,Canada, Velo , Low ,923.0, $120.00 , $125.00 ," $115,375.00 "," $1,153.75 "," $114,221.25 "," $110,760.00 "," $3,461.25 ",01/08/2014,8, August ,2014,120.0,125.00 ,115375.0,114221.25,110760.0,3461.25 ,1153.75,125.0
86,enterprise,United States of America, Velo , Low ,663.0, $120.00 , $125.00 ," $82,875.00 ", $828.75 ," $82,046.25 "," $79,560.00 "," $2,486.25 ",01/10/2013,10, October ,2013,120.0,125.00 ,82875.0,82046.25,79560.0,2486.25 ,828.75,125.0
87,government,Canada, Velo , Low ,2092.0, $120.00 , $7.00 ," $14,644.00 ", $146.44 ," $14,497.56 "," $10,460.00 "," $4,037.56 ",01/11/2013,11, November ,2013,120.0,7.00 ,14644.0,14497.56,10460.0,4037.56 ,146.44,7.0
88,government,Germany, VTT , Low ,263.0, $250.00 , $7.00 ," $1,841.00 ", $18.41 ," $1,822.59 "," $1,315.00 ", $507.59 ,01/03/2014,3, March ,2014,250.0,7.00 ,1841.0,1822.59,1315.0,507.59 ,18.41,7.0
89,government,Canada, VTT , Low ,943.5, $250.00 , $350.00 ," $330,225.00 "," $3,302.25 "," $326,922.75 "," $245,310.00 "," $81,612.75 ",01/04/2014,4, April ,2014,250.0,350.00 ,330225.0,326922.75,245310.0,81612.75 ,3302.25,350.0
90,enterprise,United States of America, VTT , Low ,727.0, $250.00 , $125.00 ," $90,875.00 ", $908.75 ," $89,966.25 "," $87,240.00 "," $2,726.25 ",01/06/2014,6, June ,2014,250.0,125.00 ,90875.0,89966.25,87240.0,2726.25 ,908.75,125.0
91,enterprise,France, VTT , Low ,787.0, $250.00 , $125.00 ," $98,375.00 ", $983.75 ," $97,391.25 "," $94,440.00 "," $2,951.25 ",01/06/2014,6, June ,2014,250.0,125.00 ,98375.0,97391.25,94440.0,2951.25 ,983.75,125.0
92,small business,Germany, VTT , Low ,986.0, $250.00 , $300.00 ," $295,800.00 "," $2,958.00 "," $292,842.00 "," $246,500.00 "," $46,342.00 ",01/09/2014,9, September ,2014,250.0,300.00 ,295800.0,292842.0,246500.0,46342.00 ,2958.0,300.0
93,small business,Mexico, VTT , Low ,494.0, $250.00 , $300.00 ," $148,200.00 "," $1,482.00 "," $146,718.00 "," $123,500.00 "," $23,218.00 ",01/10/2013,10, October ,2013,250.0,300.00 ,148200.0,146718.0,123500.0,23218.00 ,1482.0,300.0
94,government,Mexico, VTT , Low ,1397.0, $250.00 , $350.00 ," $488,950.00 "," $4,889.50 "," $484,060.50 "," $363,220.00 "," $120,840.50 ",01/10/2014,10, October ,2014,250.0,350.00 ,488950.0,484060.5,363220.0,120840.50 ,4889.5,350.0
95,enterprise,France, VTT , Low ,1744.0, $250.00 , $125.00 ," $218,000.00 "," $2,180.00 "," $215,820.00 "," $209,280.00 "," $6,540.00 ",01/11/2014,11, November ,2014,250.0,125.00 ,218000.0,215820.0,209280.0,6540.00 ,2180.0,125.0
96,channel partners,United States of America, Amarilla , Low ,1989.0, $260.00 , $12.00 ," $23,868.00 ", $238.68 ," $23,629.32 "," $5,967.00 "," $17,662.32 ",01/09/2013,9, September ,2013,260.0,12.00 ,23868.0,23629.32,5967.0,17662.32 ,238.68,12.0
97,midmarket,France, Amarilla , Low ,321.0, $260.00 , $15.00 ," $4,815.00 ", $48.15 ," $4,766.85 "," $3,210.00 "," $1,556.85 ",01/11/2013,11, November ,2013,260.0,15.00 ,4815.0,4766.85,3210.0,1556.85 ,48.15,15.0
98,enterprise,Canada, Carretera , Low ,742.5, $3.00 , $125.00 ," $92,812.50 "," $1,856.25 "," $90,956.25 "," $89,100.00 "," $1,856.25 ",01/04/2014,4, April ,2014,3.0,125.00 ,92812.5,90956.25,89100.0,1856.25 ,1856.25,125.0
99,channel partners,Canada, Carretera , Low ,1295.0, $3.00 , $12.00 ," $15,540.00 ", $310.80 ," $15,229.20 "," $3,885.00 "," $11,344.20 ",01/10/2014,10, October ,2014,3.0,12.00 ,15540.0,15229.2,3885.0,11344.20 ,310.8,12.0
100,small business,Germany, Carretera , Low ,214.0, $3.00 , $300.00 ," $64,200.00 "," $1,284.00 "," $62,916.00 "," $53,500.00 "," $9,416.00 ",01/10/2013,10, October ,2013,3.0,300.00 ,64200.0,62916.0,53500.0,9416.00 ,1284.0,300.0
101,government,France, Carretera , Low ,2145.0, $3.00 , $7.00 ," $15,015.00 ", $300.30 ," $14,714.70 "," $10,725.00 "," $3,989.70 ",01/11/2013,11, November ,2013,3.0,7.00 ,15015.0,14714.7,10725.0,3989.70 ,300.3,7.0
102,government,Canada, Carretera , Low ,2852.0, $3.00 , $350.00 ," $998,200.00 "," $19,964.00 "," $978,236.00 "," $741,520.00 "," $236,716.00 ",01/12/2014,12, December ,2014,3.0,350.00 ,998200.0,978236.0,741520.0,236716.00 ,19964.0,350.0
103,channel partners,United States of America, Montana , Low ,1142.0, $5.00 , $12.00 ," $13,704.00 ", $274.08 ," $13,429.92 "," $3,426.00 "," $10,003.92 ",01/06/2014,6, June ,2014,5.0,12.00 ,13704.0,13429.92,3426.0,10003.92 ,274.08,12.0
104,government,United States of America, Montana , Low ,1566.0, $5.00 , $20.00 ," $31,320.00 ", $626.40 ," $30,693.60 "," $15,660.00 "," $15,033.60 ",01/10/2014,10, October ,2014,5.0,20.00 ,31320.0,30693.6,15660.0,15033.60 ,626.4,20.0
